Index	Easting	Northing	Code
1	679214.399	4135762.227	0
2	679213.925	4135757.369	1
3	679215.217	4135752.324	1
4	679216.550	4135741.830	1
5	679217.565	4135734.447	1
6	679218.257	4135730.218	1
7	679219.552	4135718.609	1
8	679221.130	4135712.464	1
9	679223.288	4135705.987	1
10	679226.158	4135699.835	1
11	679227.400	4135693.862	1
12	679225.739	4135689.819	1
13	679227.140	4135676.028	1
14	679228.868	4135672.545	1
15	679231.009	4135665.976	1
16	679230.986	4135662.424	1
17	679233.313	4135659.061	1
18	679235.062	4135649.466	1
19	679236.305	4135643.158	1
20	679235.183	4135638.835	1
21	679235.097	4135634.134	1
22	679237.434	4135627.869	1
23	679239.939	4135622.854	1
24	679251.007	4135613.181	1
25	679259.026	4135603.018	1
26	679271.846	4135593.890	1
27	679279.937	4135589.934	1
28	679293.064	4135590.492	1
29	679298.538	4135591.223	1
30	679305.327	4135590.411	1
31	679313.434	4135588.007	1
32	679326.098	4135577.994	1
33	679332.147	4135578.301	1
34	679342.148	4135570.072	1
35	679341.011	4135568.092	1
36	679347.801	4135566.371	1
37	679355.323	4135563.428	1
38	679364.583	4135561.414	1
39	679370.507	4135560.417	1
40	679377.264	4135557.923	1
41	679380.299	4135554.223	1
42	679387.715	4135554.899	1
43	679394.652	4135556.091	1
44	679407.556	4135557.685	1
45	679416.602	4135560.252	1
46	679430.693	4135563.930	1
47	679434.713	4135562.558	1
48	679432.411	4135561.040	1
49	679417.308	4135554.129	1
50	679431.615	4135544.228	1
51	679444.726	4135541.207	1
52	679455.712	4135542.936	1
53	679467.706	4135548.389	1
54	679478.585	4135551.427	1
55	679483.679	4135557.920	1
56	679480.284	4135560.388	1
57	679483.762	4135561.784	1
58	679487.261	4135562.386	1
59	679483.062	4135565.111	1
60	679479.284	4135566.426	0
61	679509.035	4135565.273	0
62	679503.752	4135561.501	1
63	679503.788	4135555.399	1
64	679502.040	4135547.411	1
65	679498.743	4135541.552	1
66	679493.956	4135538.571	1
67	679488.118	4135532.116	1
68	679481.377	4135525.769	1
69	679479.106	4135523.920	1
70	679473.537	4135522.996	1
71	679466.156	4135520.422	1
72	679460.224	4135519.405	1
73	679455.686	4135518.286	1
74	679448.996	4135516.295	1
75	679444.644	4135517.841	1
76	679440.322	4135519.460	1
77	679430.529	4135527.783	1
78	679424.519	4135529.523	1
79	679421.893	4135532.648	1
80	679415.488	4135535.976	1
81	679407.906	4135537.869	1
82	679404.349	4135537.934	1
83	679399.324	4135537.005	1
84	679387.491	4135531.966	1
85	679381.218	4135530.592	1
86	679378.001	4135528.152	1
87	679380.245	4135525.219	1
88	679385.740	4135520.802	1
89	679388.290	4135514.608	1
90	679392.537	4135509.372	1
91	679399.081	4135499.752	1
92	679405.000	4135492.955	1
93	679412.760	4135489.067	1
94	679414.400	4135484.521	1
95	679416.959	4135480.787	1
96	679420.760	4135474.933	1
97	679423.680	4135466.290	1
98	679426.631	4135460.539	1
99	679427.631	4135458.646	1
100	679434.348	4135449.845	1
101	679438.087	4135437.465	1
102	679444.453	4135416.770	0
103	679414.420	4135414.408	0
104	679415.192	4135420.277	1
105	679415.771	4135428.263	1
106	679416.408	4135430.701	1
107	679415.252	4135436.694	1
108	679414.187	4135443.345	1
109	679411.637	4135450.272	1
110	679407.398	4135455.830	1
111	679403.519	4135460.714	1
112	679398.910	4135466.386	1
113	679395.746	4135469.909	1
114	679389.793	4135474.359	1
115	679375.008	4135488.440	1
116	679368.298	4135495.796	1
117	679362.468	4135500.813	1
118	679352.728	4135508.288	1
119	679344.778	4135513.172	1
120	679333.682	4135518.637	1
121	679325.642	4135522.144	1
122	679316.846	4135524.844	1
123	679309.027	4135526.019	1
124	679299.532	4135527.881	1
125	679290.848	4135529.829	1
126	679285.531	4135530.137	1
127	679270.787	4135537.850	1
128	679266.203	4135540.424	1
129	679261.655	4135543.192	1
130	679257.053	4135546.636	1
131	679253.519	4135549.576	1
132	679248.950	4135551.890	1
133	679244.134	4135554.021	1
134	679236.817	4135559.879	1
135	679232.261	4135563.358	1
136	679225.727	4135571.239	1
137	679223.063	4135575.130	1
138	679221.386	4135577.786	1
139	679217.770	4135591.496	1
140	679215.156	4135596.883	1
141	679203.721	4135610.652	1
142	679199.679	4135618.472	1
143	679196.394	4135626.807	1
144	679199.187	4135630.679	1
145	679199.561	4135635.592	1
146	679197.086	4135640.226	1
147	679194.873	4135647.204	1
148	679192.832	4135656.815	1
149	679191.170	4135666.827	1
150	679189.416	4135674.144	1
151	679187.108	4135681.508	1
152	679186.553	4135687.189	1
153	679183.684	4135694.015	1
154	679181.275	4135705.048	1
155	679179.558	4135713.013	1
156	679175.611	4135724.730	1
157	679173.350	4135732.017	1
158	679172.754	4135741.121	1
159	679168.383	4135751.880	1
160	679168.228	4135757.089	0
1	679246.684	4135578.407	2
2	679242.375	4135583.199	2
3	679239.698	4135586.819	2
4	679244.250	4135584.596	2
5	679243.648	4135587.367	2
6	679255.772	4135586.966	2
7	679265.683	4135581.542	2
8	679275.068	4135574.778	2
9	679287.134	4135567.605	2
10	679293.459	4135563.188	2
11	679297.897	4135560.261	2
12	679302.054	4135557.718	2
13	679305.760	4135553.229	2
14	679294.350	4135554.154	2
15	679287.608	4135556.269	2
16	679282.116	4135560.552	2
17	679273.436	4135564.582	2
18	679259.111	4135571.014	2
19	679251.453	4135574.162	2
1	679290.992	4135577.834	3
2	679299.126	4135574.772	3
3	679307.715	4135570.813	3
4	679314.140	4135568.121	3
5	679316.468	4135566.564	3
6	679319.654	4135561.955	3
7	679309.876	4135562.757	3
8	679304.607	4135564.422	3
9	679299.199	4135568.091	3
10	679294.720	4135572.171	3
